id	skill_name	project_name	world	trit	color	embedding_text
1	A-F-X-M_skill_1	A-F-X-M	A	-1	#2f53ed	Skill: A-F-X-M_skill_1. Project: A-F-X-M. World: A. Category: validating.
2	A-F-X-M_skill_2	A-F-X-M	A	-1	#b2e2dd	Skill: A-F-X-M_skill_2. Project: A-F-X-M. World: A. Category: validating.
3	A-F-X-M_skill_3	A-F-X-M	A	-1	#0dd19b	Skill: A-F-X-M_skill_3. Project: A-F-X-M. World: A. Category: validating.
4	ACSets.jl_skill_1	ACSets.jl	A	-1	#0f3851	Skill: ACSets.jl_skill_1. Project: ACSets.jl. World: A. Category: validating.
5	ACSets.jl_skill_2	ACSets.jl	A	-1	#a970a7	Skill: ACSets.jl_skill_2. Project: ACSets.jl. World: A. Category: validating.
6	ACSets.jl_skill_3	ACSets.jl	A	-1	#bd6a9e	Skill: ACSets.jl_skill_3. Project: ACSets.jl. World: A. Category: validating.
7	ACSets.jl_skill_4	ACSets.jl	A	-1	#f0694d	Skill: ACSets.jl_skill_4. Project: ACSets.jl. World: A. Category: validating.
8	AlgebraicDynamics.jl_skill_1	AlgebraicDynamics.jl	A	-1	#687faa	Skill: AlgebraicDynamics.jl_skill_1. Project: AlgebraicDynamics.jl. World: A. Category: validating.
9	AlgebraicDynamics.jl_skill_2	AlgebraicDynamics.jl	A	-1	#72e8d4	Skill: AlgebraicDynamics.jl_skill_2. Project: AlgebraicDynamics.jl. World: A. Category: validating.
10	AlgebraicDynamics.jl_skill_3	AlgebraicDynamics.jl	A	-1	#9ad650	Skill: AlgebraicDynamics.jl_skill_3. Project: AlgebraicDynamics.jl. World: A. Category: validating.
11	.flox_skill_1	.flox	B	1	#8422ad	Skill: .flox_skill_1. Project: .flox. World: B. Category: generative.
12	.flox_skill_2	.flox	B	1	#8d2d51	Skill: .flox_skill_2. Project: .flox. World: B. Category: generative.
13	.flox_skill_3	.flox	B	1	#0e833a	Skill: .flox_skill_3. Project: .flox. World: B. Category: generative.
14	.flox_skill_4	.flox	B	1	#e62cdb	Skill: .flox_skill_4. Project: .flox. World: B. Category: generative.
15	.topos_skill_1	.topos	B	1	#15a429	Skill: .topos_skill_1. Project: .topos. World: B. Category: generative.
16	.topos_skill_2	.topos	B	1	#9fb4cb	Skill: .topos_skill_2. Project: .topos. World: B. Category: generative.
17	.topos_skill_3	.topos	B	1	#188988	Skill: .topos_skill_3. Project: .topos. World: B. Category: generative.
18	ACSets.jl_skill_1	ACSets.jl	B	1	#0f3851	Skill: ACSets.jl_skill_1. Project: ACSets.jl. World: B. Category: generative.
19	ACSets.jl_skill_2	ACSets.jl	B	1	#a970a7	Skill: ACSets.jl_skill_2. Project: ACSets.jl. World: B. Category: generative.
20	ACSets.jl_skill_3	ACSets.jl	B	1	#bd6a9e	Skill: ACSets.jl_skill_3. Project: ACSets.jl. World: B. Category: generative.
21	BENCH-case-hasheq_skill_1	BENCH-case-hasheq	F	1	#014539	Skill: BENCH-case-hasheq_skill_1. Project: BENCH-case-hasheq. World: F. Category: generative.
22	BENCH-case-hasheq_skill_2	BENCH-case-hasheq	F	1	#0a1fe0	Skill: BENCH-case-hasheq_skill_2. Project: BENCH-case-hasheq. World: F. Category: generative.
23	BENCH-case-hasheq_skill_3	BENCH-case-hasheq	F	1	#d6d2f2	Skill: BENCH-case-hasheq_skill_3. Project: BENCH-case-hasheq. World: F. Category: generative.
24	BENCH-case-hasheq_skill_4	BENCH-case-hasheq	F	1	#c7f05a	Skill: BENCH-case-hasheq_skill_4. Project: BENCH-case-hasheq. World: F. Category: generative.
25	BENCH-update-kvs_skill_1	BENCH-update-kvs	F	1	#318721	Skill: BENCH-update-kvs_skill_1. Project: BENCH-update-kvs. World: F. Category: generative.
26	BENCH-update-kvs_skill_2	BENCH-update-kvs	F	1	#bf119d	Skill: BENCH-update-kvs_skill_2. Project: BENCH-update-kvs. World: F. Category: generative.
27	BENCH-update-kvs_skill_3	BENCH-update-kvs	F	1	#1e6fd0	Skill: BENCH-update-kvs_skill_3. Project: BENCH-update-kvs. World: F. Category: generative.
28	BENCH-update-kvs_skill_4	BENCH-update-kvs	F	1	#cd3ba4	Skill: BENCH-update-kvs_skill_4. Project: BENCH-update-kvs. World: F. Category: generative.
29	RESEARCH-bench-destructure_skill_1	RESEARCH-bench-destructure	F	1	#65b26b	Skill: RESEARCH-bench-destructure_skill_1. Project: RESEARCH-bench-destructure. World: F. Category: generative.
30	RESEARCH-bench-destructure_skill_2	RESEARCH-bench-destructure	F	1	#b0bade	Skill: RESEARCH-bench-destructure_skill_2. Project: RESEARCH-bench-destructure. World: F. Category: generative.
31	RESEARCH-bench-destructure_skill_3	RESEARCH-bench-destructure	F	1	#a90fd2	Skill: RESEARCH-bench-destructure_skill_3. Project: RESEARCH-bench-destructure. World: F. Category: generative.
32	RESEARCH-bench-destructure_skill_4	RESEARCH-bench-destructure	F	1	#4c504a	Skill: RESEARCH-bench-destructure_skill_4. Project: RESEARCH-bench-destructure. World: F. Category: generative.
33	archive-text-urls_skill_1	archive-text-urls	G	-1	#1e2686	Skill: archive-text-urls_skill_1. Project: archive-text-urls. World: G. Category: validating.
34	archive-text-urls_skill_2	archive-text-urls	G	-1	#b27947	Skill: archive-text-urls_skill_2. Project: archive-text-urls. World: G. Category: validating.
35	archive-text-urls_skill_3	archive-text-urls	G	-1	#0edefe	Skill: archive-text-urls_skill_3. Project: archive-text-urls. World: G. Category: validating.
36	archive-text-urls_skill_4	archive-text-urls	G	-1	#b66e64	Skill: archive-text-urls_skill_4. Project: archive-text-urls. World: G. Category: validating.
37	archiver-bot_skill_1	archiver-bot	G	-1	#97633e	Skill: archiver-bot_skill_1. Project: archiver-bot. World: G. Category: validating.
38	archiver-bot_skill_2	archiver-bot	G	-1	#be7b78	Skill: archiver-bot_skill_2. Project: archiver-bot. World: G. Category: validating.
39	archiver-bot_skill_3	archiver-bot	G	-1	#726a0b	Skill: archiver-bot_skill_3. Project: archiver-bot. World: G. Category: validating.
40	funnel_skill_1	funnel	G	-1	#534cb4	Skill: funnel_skill_1. Project: funnel. World: G. Category: validating.
41	funnel_skill_2	funnel	G	-1	#3088e9	Skill: funnel_skill_2. Project: funnel. World: G. Category: validating.
42	funnel_skill_3	funnel	G	-1	#1c9e20	Skill: funnel_skill_3. Project: funnel. World: G. Category: validating.
43	funnel_skill_4	funnel	G	-1	#63c064	Skill: funnel_skill_4. Project: funnel. World: G. Category: validating.
44	kubeflow_skill_1	kubeflow	K	1	#c846b6	Skill: kubeflow_skill_1. Project: kubeflow. World: K. Category: generative.
45	kubeflow_skill_2	kubeflow	K	1	#b3890d	Skill: kubeflow_skill_2. Project: kubeflow. World: K. Category: generative.
46	kubeflow_skill_3	kubeflow	K	1	#bc8a83	Skill: kubeflow_skill_3. Project: kubeflow. World: K. Category: generative.
47	kubeflow_skill_4	kubeflow	K	1	#3aea9a	Skill: kubeflow_skill_4. Project: kubeflow. World: K. Category: generative.
48	asi_skill_1	asi	P	0	#0bfaf6	Skill: asi_skill_1. Project: asi. World: P. Category: neutral.
49	asi_skill_2	asi	P	0	#22bc9e	Skill: asi_skill_2. Project: asi. World: P. Category: neutral.
50	asi_skill_3	asi	P	0	#1849de	Skill: asi_skill_3. Project: asi. World: P. Category: neutral.
51	plurigrid_skill_1	plurigrid	P	0	#e822e0	Skill: plurigrid_skill_1. Project: plurigrid. World: P. Category: neutral.
52	plurigrid_skill_2	plurigrid	P	0	#4ed1a0	Skill: plurigrid_skill_2. Project: plurigrid. World: P. Category: neutral.
53	plurigrid_skill_3	plurigrid	P	0	#9836e5	Skill: plurigrid_skill_3. Project: plurigrid. World: P. Category: neutral.
54	CatColab_skill_1	CatColab	T	0	#5d8e96	Skill: CatColab_skill_1. Project: CatColab. World: T. Category: neutral.
55	CatColab_skill_2	CatColab	T	0	#d43c39	Skill: CatColab_skill_2. Project: CatColab. World: T. Category: neutral.
56	CatColab_skill_3	CatColab	T	0	#6705da	Skill: CatColab_skill_3. Project: CatColab. World: T. Category: neutral.
57	CatColab_skill_4	CatColab	T	0	#4dca53	Skill: CatColab_skill_4. Project: CatColab. World: T. Category: neutral.
58	TeglonLabs_skill_1	TeglonLabs	T	0	#64dcb4	Skill: TeglonLabs_skill_1. Project: TeglonLabs. World: T. Category: neutral.
59	TeglonLabs_skill_2	TeglonLabs	T	0	#55bd29	Skill: TeglonLabs_skill_2. Project: TeglonLabs. World: T. Category: neutral.
60	TeglonLabs_skill_3	TeglonLabs	T	0	#3bbed1	Skill: TeglonLabs_skill_3. Project: TeglonLabs. World: T. Category: neutral.
61	TeglonLabs_skill_4	TeglonLabs	T	0	#01543e	Skill: TeglonLabs_skill_4. Project: TeglonLabs. World: T. Category: neutral.
62	TheNumarati_skill_1	TheNumarati	T	0	#be3ed6	Skill: TheNumarati_skill_1. Project: TheNumarati. World: T. Category: neutral.
63	TheNumarati_skill_2	TheNumarati	T	0	#8b083d	Skill: TheNumarati_skill_2. Project: TheNumarati. World: T. Category: neutral.
64	TheNumarati_skill_3	TheNumarati	T	0	#0309da	Skill: TheNumarati_skill_3. Project: TheNumarati. World: T. Category: neutral.
65	AdventOfCode2017_skill_1	AdventOfCode2017	c	1	#4a4a9d	Skill: AdventOfCode2017_skill_1. Project: AdventOfCode2017. World: c. Category: generative.
66	AdventOfCode2017_skill_2	AdventOfCode2017	c	1	#309356	Skill: AdventOfCode2017_skill_2. Project: AdventOfCode2017. World: c. Category: generative.
67	AdventOfCode2017_skill_3	AdventOfCode2017	c	1	#e7c7b1	Skill: AdventOfCode2017_skill_3. Project: AdventOfCode2017. World: c. Category: generative.
68	AdventOfCode2017_skill_4	AdventOfCode2017	c	1	#2132dd	Skill: AdventOfCode2017_skill_4. Project: AdventOfCode2017. World: c. Category: generative.
69	Continuum-Corporation_skill_1	Continuum-Corporation	c	1	#63f023	Skill: Continuum-Corporation_skill_1. Project: Continuum-Corporation. World: c. Category: generative.
70	Continuum-Corporation_skill_2	Continuum-Corporation	c	1	#840a4b	Skill: Continuum-Corporation_skill_2. Project: Continuum-Corporation. World: c. Category: generative.
71	Continuum-Corporation_skill_3	Continuum-Corporation	c	1	#bb7d42	Skill: Continuum-Corporation_skill_3. Project: Continuum-Corporation. World: c. Category: generative.
72	JaM_skill_1	JaM	c	1	#bdf4c5	Skill: JaM_skill_1. Project: JaM. World: c. Category: generative.
73	JaM_skill_2	JaM	c	1	#7e6292	Skill: JaM_skill_2. Project: JaM. World: c. Category: generative.
74	JaM_skill_3	JaM	c	1	#efdb75	Skill: JaM_skill_3. Project: JaM. World: c. Category: generative.
75	BayesTheseus-PP_skill_1	BayesTheseus-PP	d	0	#9a11ca	Skill: BayesTheseus-PP_skill_1. Project: BayesTheseus-PP. World: d. Category: neutral.
76	BayesTheseus-PP_skill_2	BayesTheseus-PP	d	0	#767128	Skill: BayesTheseus-PP_skill_2. Project: BayesTheseus-PP. World: d. Category: neutral.
77	BayesTheseus-PP_skill_3	BayesTheseus-PP	d	0	#197e54	Skill: BayesTheseus-PP_skill_3. Project: BayesTheseus-PP. World: d. Category: neutral.
78	BayesTheseus-PP_skill_4	BayesTheseus-PP	d	0	#36b6c3	Skill: BayesTheseus-PP_skill_4. Project: BayesTheseus-PP. World: d. Category: neutral.
79	DMLAI_skill_1	DMLAI	d	0	#cca5b1	Skill: DMLAI_skill_1. Project: DMLAI. World: d. Category: neutral.
80	DMLAI_skill_2	DMLAI	d	0	#0d2aef	Skill: DMLAI_skill_2. Project: DMLAI. World: d. Category: neutral.
81	DMLAI_skill_3	DMLAI	d	0	#56ed3a	Skill: DMLAI_skill_3. Project: DMLAI. World: d. Category: neutral.
82	Databases---Categories_skill_1	Databases---Categories	d	0	#01bb4c	Skill: Databases---Categories_skill_1. Project: Databases---Categories. World: d. Category: neutral.
83	Databases---Categories_skill_2	Databases---Categories	d	0	#827a98	Skill: Databases---Categories_skill_2. Project: Databases---Categories. World: d. Category: neutral.
84	Databases---Categories_skill_3	Databases---Categories	d	0	#2fcb77	Skill: Databases---Categories_skill_3. Project: Databases---Categories. World: d. Category: neutral.
85	Databases---Categories_skill_4	Databases---Categories	d	0	#702fae	Skill: Databases---Categories_skill_4. Project: Databases---Categories. World: d. Category: neutral.
86	721_skill_1	721	e	-1	#27a002	Skill: 721_skill_1. Project: 721. World: e. Category: validating.
87	721_skill_2	721	e	-1	#f9df8c	Skill: 721_skill_2. Project: 721. World: e. Category: validating.
88	721_skill_3	721	e	-1	#117560	Skill: 721_skill_3. Project: 721. World: e. Category: validating.
89	721_skill_4	721	e	-1	#39e2a4	Skill: 721_skill_4. Project: 721. World: e. Category: validating.
90	infinity-cosmos_skill_1	infinity-cosmos	e	-1	#1de572	Skill: infinity-cosmos_skill_1. Project: infinity-cosmos. World: e. Category: validating.
91	infinity-cosmos_skill_2	infinity-cosmos	e	-1	#ffc23a	Skill: infinity-cosmos_skill_2. Project: infinity-cosmos. World: e. Category: validating.
92	infinity-cosmos_skill_3	infinity-cosmos	e	-1	#2f623f	Skill: infinity-cosmos_skill_3. Project: infinity-cosmos. World: e. Category: validating.
93	infinity-cosmos_skill_4	infinity-cosmos	e	-1	#82e430	Skill: infinity-cosmos_skill_4. Project: infinity-cosmos. World: e. Category: validating.
94	yoneda_skill_1	yoneda	e	-1	#63e6fa	Skill: yoneda_skill_1. Project: yoneda. World: e. Category: validating.
95	yoneda_skill_2	yoneda	e	-1	#01087a	Skill: yoneda_skill_2. Project: yoneda. World: e. Category: validating.
96	yoneda_skill_3	yoneda	e	-1	#598e8a	Skill: yoneda_skill_3. Project: yoneda. World: e. Category: validating.
97	yoneda_skill_4	yoneda	e	-1	#94eba5	Skill: yoneda_skill_4. Project: yoneda. World: e. Category: validating.
98	gdlog_skill_1	gdlog	h	0	#d1818b	Skill: gdlog_skill_1. Project: gdlog. World: h. Category: neutral.
99	gdlog_skill_2	gdlog	h	0	#77a1d9	Skill: gdlog_skill_2. Project: gdlog. World: h. Category: neutral.
100	gdlog_skill_3	gdlog	h	0	#146b64	Skill: gdlog_skill_3. Project: gdlog. World: h. Category: neutral.
101	gdlog_skill_4	gdlog	h	0	#97fabf	Skill: gdlog_skill_4. Project: gdlog. World: h. Category: neutral.
102	hdresearch_skill_1	hdresearch	h	0	#b19a98	Skill: hdresearch_skill_1. Project: hdresearch. World: h. Category: neutral.
103	hdresearch_skill_2	hdresearch	h	0	#3a9d04	Skill: hdresearch_skill_2. Project: hdresearch. World: h. Category: neutral.
104	hdresearch_skill_3	hdresearch	h	0	#58cbfb	Skill: hdresearch_skill_3. Project: hdresearch. World: h. Category: neutral.
105	micro_datalog_gpu_skill_1	micro_datalog_gpu	h	0	#0fb8e1	Skill: micro_datalog_gpu_skill_1. Project: micro_datalog_gpu. World: h. Category: neutral.
106	micro_datalog_gpu_skill_2	micro_datalog_gpu	h	0	#1d345b	Skill: micro_datalog_gpu_skill_2. Project: micro_datalog_gpu. World: h. Category: neutral.
107	micro_datalog_gpu_skill_3	micro_datalog_gpu	h	0	#198e2e	Skill: micro_datalog_gpu_skill_3. Project: micro_datalog_gpu. World: h. Category: neutral.
108	micro_datalog_gpu_skill_4	micro_datalog_gpu	h	0	#3cf742	Skill: micro_datalog_gpu_skill_4. Project: micro_datalog_gpu. World: h. Category: neutral.
109	InverterNetwork_skill_1	InverterNetwork	i	0	#d74196	Skill: InverterNetwork_skill_1. Project: InverterNetwork. World: i. Category: neutral.
110	InverterNetwork_skill_2	InverterNetwork	i	0	#2339c8	Skill: InverterNetwork_skill_2. Project: InverterNetwork. World: i. Category: neutral.
111	InverterNetwork_skill_3	InverterNetwork	i	0	#fd8cd3	Skill: InverterNetwork_skill_3. Project: InverterNetwork. World: i. Category: neutral.
112	creative-coding_skill_1	creative-coding	l	1	#8020db	Skill: creative-coding_skill_1. Project: creative-coding. World: l. Category: generative.
113	creative-coding_skill_2	creative-coding	l	1	#7fcb74	Skill: creative-coding_skill_2. Project: creative-coding. World: l. Category: generative.
114	creative-coding_skill_3	creative-coding	l	1	#e13830	Skill: creative-coding_skill_3. Project: creative-coding. World: l. Category: generative.
115	creative-coding_skill_4	creative-coding	l	1	#3a8ebe	Skill: creative-coding_skill_4. Project: creative-coding. World: l. Category: generative.
116	glitch-explorer_skill_1	glitch-explorer	l	1	#7c40c1	Skill: glitch-explorer_skill_1. Project: glitch-explorer. World: l. Category: generative.
117	glitch-explorer_skill_2	glitch-explorer	l	1	#c45b10	Skill: glitch-explorer_skill_2. Project: glitch-explorer. World: l. Category: generative.
118	glitch-explorer_skill_3	glitch-explorer	l	1	#025329	Skill: glitch-explorer_skill_3. Project: glitch-explorer. World: l. Category: generative.
119	pretty-bugs_skill_1	pretty-bugs	l	1	#e9d135	Skill: pretty-bugs_skill_1. Project: pretty-bugs. World: l. Category: generative.
120	pretty-bugs_skill_2	pretty-bugs	l	1	#06a3de	Skill: pretty-bugs_skill_2. Project: pretty-bugs. World: l. Category: generative.
121	pretty-bugs_skill_3	pretty-bugs	l	1	#f25ce3	Skill: pretty-bugs_skill_3. Project: pretty-bugs. World: l. Category: generative.
122	pretty-bugs_skill_4	pretty-bugs	l	1	#f56893	Skill: pretty-bugs_skill_4. Project: pretty-bugs. World: l. Category: generative.
123	1lab_skill_1	1lab	m	-1	#6ad220	Skill: 1lab_skill_1. Project: 1lab. World: m. Category: validating.
124	1lab_skill_2	1lab	m	-1	#5d6729	Skill: 1lab_skill_2. Project: 1lab. World: m. Category: validating.
125	1lab_skill_3	1lab	m	-1	#a9a892	Skill: 1lab_skill_3. Project: 1lab. World: m. Category: validating.
126	DynamicalSystemsBook_skill_1	DynamicalSystemsBook	m	-1	#dfc75b	Skill: DynamicalSystemsBook_skill_1. Project: DynamicalSystemsBook. World: m. Category: validating.
127	DynamicalSystemsBook_skill_2	DynamicalSystemsBook	m	-1	#98bf9f	Skill: DynamicalSystemsBook_skill_2. Project: DynamicalSystemsBook. World: m. Category: validating.
128	DynamicalSystemsBook_skill_3	DynamicalSystemsBook	m	-1	#74f0cd	Skill: DynamicalSystemsBook_skill_3. Project: DynamicalSystemsBook. World: m. Category: validating.
129	DynamicalSystemsBook_skill_4	DynamicalSystemsBook	m	-1	#c84c00	Skill: DynamicalSystemsBook_skill_4. Project: DynamicalSystemsBook. World: m. Category: validating.
130	MintedMosaic_skill_1	MintedMosaic	m	-1	#8ad5bc	Skill: MintedMosaic_skill_1. Project: MintedMosaic. World: m. Category: validating.
131	MintedMosaic_skill_2	MintedMosaic	m	-1	#3bc8f4	Skill: MintedMosaic_skill_2. Project: MintedMosaic. World: m. Category: validating.
132	MintedMosaic_skill_3	MintedMosaic	m	-1	#f49721	Skill: MintedMosaic_skill_3. Project: MintedMosaic. World: m. Category: validating.
133	nlab-content_skill_1	nlab-content	n	0	#c7bd62	Skill: nlab-content_skill_1. Project: nlab-content. World: n. Category: neutral.
134	nlab-content_skill_2	nlab-content	n	0	#76be95	Skill: nlab-content_skill_2. Project: nlab-content. World: n. Category: neutral.
135	nlab-content_skill_3	nlab-content	n	0	#4c305d	Skill: nlab-content_skill_3. Project: nlab-content. World: n. Category: neutral.
136	Category_Theory_Machine_Learning_skill_1	Category_Theory_Machine_Learning	o	0	#63a083	Skill: Category_Theory_Machine_Learning_skill_1. Project: Category_Theory_Machine_Learning. World: o. Category: neutral.
137	Category_Theory_Machine_Learning_skill_2	Category_Theory_Machine_Learning	o	0	#dada6d	Skill: Category_Theory_Machine_Learning_skill_2. Project: Category_Theory_Machine_Learning. World: o. Category: neutral.
138	Category_Theory_Machine_Learning_skill_3	Category_Theory_Machine_Learning	o	0	#18ce37	Skill: Category_Theory_Machine_Learning_skill_3. Project: Category_Theory_Machine_Learning. World: o. Category: neutral.
139	StructuredDecompositions.jl_skill_1	StructuredDecompositions.jl	o	0	#d22233	Skill: StructuredDecompositions.jl_skill_1. Project: StructuredDecompositions.jl. World: o. Category: neutral.
140	StructuredDecompositions.jl_skill_2	StructuredDecompositions.jl	o	0	#335c6f	Skill: StructuredDecompositions.jl_skill_2. Project: StructuredDecompositions.jl. World: o. Category: neutral.
141	StructuredDecompositions.jl_skill_3	StructuredDecompositions.jl	o	0	#8b890b	Skill: StructuredDecompositions.jl_skill_3. Project: StructuredDecompositions.jl. World: o. Category: neutral.
142	StructuredDecompositions.jl_skill_4	StructuredDecompositions.jl	o	0	#17b2d8	Skill: StructuredDecompositions.jl_skill_4. Project: StructuredDecompositions.jl. World: o. Category: neutral.
143	agent-o-rama_skill_1	agent-o-rama	o	0	#769b4a	Skill: agent-o-rama_skill_1. Project: agent-o-rama. World: o. Category: neutral.
144	agent-o-rama_skill_2	agent-o-rama	o	0	#5c8163	Skill: agent-o-rama_skill_2. Project: agent-o-rama. World: o. Category: neutral.
145	agent-o-rama_skill_3	agent-o-rama	o	0	#886d06	Skill: agent-o-rama_skill_3. Project: agent-o-rama. World: o. Category: neutral.
146	AgentGPT_skill_1	AgentGPT	r	0	#82f023	Skill: AgentGPT_skill_1. Project: AgentGPT. World: r. Category: neutral.
147	AgentGPT_skill_2	AgentGPT	r	0	#fb35d6	Skill: AgentGPT_skill_2. Project: AgentGPT. World: r. Category: neutral.
148	AgentGPT_skill_3	AgentGPT	r	0	#605b65	Skill: AgentGPT_skill_3. Project: AgentGPT. World: r. Category: neutral.
149	AgentGPT_skill_4	AgentGPT	r	0	#f5917a	Skill: AgentGPT_skill_4. Project: AgentGPT. World: r. Category: neutral.
150	complexity-scaling_skill_1	complexity-scaling	r	0	#a7368a	Skill: complexity-scaling_skill_1. Project: complexity-scaling. World: r. Category: neutral.
151	complexity-scaling_skill_2	complexity-scaling	r	0	#822d34	Skill: complexity-scaling_skill_2. Project: complexity-scaling. World: r. Category: neutral.
152	complexity-scaling_skill_3	complexity-scaling	r	0	#739f63	Skill: complexity-scaling_skill_3. Project: complexity-scaling. World: r. Category: neutral.
153	rzk_skill_1	rzk	r	0	#e1e31e	Skill: rzk_skill_1. Project: rzk. World: r. Category: neutral.
154	rzk_skill_2	rzk	r	0	#f9d6d5	Skill: rzk_skill_2. Project: rzk. World: r. Category: neutral.
155	rzk_skill_3	rzk	r	0	#42c38f	Skill: rzk_skill_3. Project: rzk. World: r. Category: neutral.
156	.flox_skill_1	.flox	v	-1	#8422ad	Skill: .flox_skill_1. Project: .flox. World: v. Category: validating.
157	.flox_skill_2	.flox	v	-1	#8d2d51	Skill: .flox_skill_2. Project: .flox. World: v. Category: validating.
158	.flox_skill_3	.flox	v	-1	#0e833a	Skill: .flox_skill_3. Project: .flox. World: v. Category: validating.
159	.flox_skill_4	.flox	v	-1	#e62cdb	Skill: .flox_skill_4. Project: .flox. World: v. Category: validating.
160	AlgebraicCategories_skill_1	AlgebraicCategories	v	-1	#a6ee44	Skill: AlgebraicCategories_skill_1. Project: AlgebraicCategories. World: v. Category: validating.
161	AlgebraicCategories_skill_2	AlgebraicCategories	v	-1	#fae53e	Skill: AlgebraicCategories_skill_2. Project: AlgebraicCategories. World: v. Category: validating.
162	AlgebraicCategories_skill_3	AlgebraicCategories	v	-1	#f97d74	Skill: AlgebraicCategories_skill_3. Project: AlgebraicCategories. World: v. Category: validating.
163	AlgebraicCategories_skill_4	AlgebraicCategories	v	-1	#f448c9	Skill: AlgebraicCategories_skill_4. Project: AlgebraicCategories. World: v. Category: validating.
164	BridgeBasicTests_skill_1	BridgeBasicTests	v	-1	#c902b5	Skill: BridgeBasicTests_skill_1. Project: BridgeBasicTests. World: v. Category: validating.
165	BridgeBasicTests_skill_2	BridgeBasicTests	v	-1	#5f4799	Skill: BridgeBasicTests_skill_2. Project: BridgeBasicTests. World: v. Category: validating.
166	BridgeBasicTests_skill_3	BridgeBasicTests	v	-1	#b7e1e7	Skill: BridgeBasicTests_skill_3. Project: BridgeBasicTests. World: v. Category: validating.
